title,month,year,social,aspect,opinion,review,country,polarity
Broken Escalators,Sep,2018,twitter,Reliability equipment,The escalators are often broken.,"The escalators were out of service, and I had to carry my heavy luggage up the stairs. This was a major inconvenience.",Ireland,negative
Dirty and Unhygienic,Jun,2023,facebook,Cleanliness,The station is dirty and unhygienic.,"The station was dirty and unhygienic. The floors were sticky, and there was trash everywhere. I wouldn't recommend using this station.",Switzerland,negative
Poor Customer Service,Oct,2022,google review,Handling complaints,The staff are rude and unhelpful.,The staff were rude and unhelpful. They didn't even try to assist me with my questions or concerns.,Austria,negative
Delay Issues,Apr,2016,instagram,Puncuality,The trains are often delayed.,"The train was delayed for over an hour, with no explanation or apology. This was a major inconvenience for me.",Denmark,negative
Unkempt Station,Jul,2019,twitter,Maintenance,The station is not well-maintained.,"The station looks rundown and neglected. The paint is chipping, the floors are cracked, and there's graffiti everywhere.",Romania,negative
Confusing Payment System,Feb,2021,facebook,User-friendly payment system,The payment system is confusing.,"The ticketing machines were confusing and difficult to use. I had to ask for assistance from a staff member, who was also unhelpful.",Finland,negative
No Information Available,May,2024,google review,Data availability,There is no information available.,"I couldn't find any information about train schedules or platform numbers. The screens were blank, and there were no staff members to help.",Norway,negative
Unsafe Environment,Aug,2018,twitter,Safety,The station is unsafe.,"I witnessed a fight break out on the platform. It was a scary experience, and I felt unsafe. The station needs more security.",Greece,negative
Unhygienic Toilets,Dec,2017,facebook,Cleanliness,The toilets are dirty.,"The toilets were filthy and smelly. It was a disgusting experience, and I wouldn't use them again.",Hungary,negative
Unreliable Train Service,Jan,2020,google review,Reliability equipment,The train service is unreliable.,"The trains were frequently delayed or cancelled, making it difficult to plan my trip. The service is unreliable.",Czech Republic,negative
Poor Customer Service,Sep,2022,instagram,Handling complaints,The staff are unhelpful.,"I had a problem with my ticket, and the staff were rude and unhelpful. They didn't offer any solutions or assistance.",Slovakia,negative
Unsatisfactory Facilities,Jun,2019,twitter,Satisfactions,The facilities are not good.,"The facilities at the station were outdated and in need of repair. The toilets were dirty, and the seating areas were uncomfortable.",Bulgaria,negative
Delay Problems,Nov,2023,facebook,Puncuality,The trains are often delayed.,"The train was delayed for over an hour, with no explanation or apology. This is a common occurrence at this station.",Croatia,negative
Neglected Station,Mar,2021,google review,Maintenance,The station is not well-maintained.,"The station looks rundown and neglected. There's litter everywhere, and the paint is peeling.",Slovenia,negative
Difficult Payment System,Jul,2017,twitter,User-friendly payment system,The payment system is difficult to use.,"The ticketing machines were confusing and difficult to use. I had to ask for help from a staff member, who was also unhelpful.",Lithuania,negative
Lack of Information,Dec,2018,facebook,Data availability,There is not enough information.,There were no signs or announcements about where to find my platform. I had to wander around the station for a while before finding it.,Latvia,negative
Unsafe Station,May,2020,instagram,Safety,The station is unsafe.,I felt unsafe walking through the station at night. There were no security guards or staff members visible.,Estonia,negative
Filthy Toilets,Oct,2024,google review,Cleanliness,The toilets are dirty.,The toilets were absolutely filthy and smelled horrible. I couldn't even go inside. This is unacceptable for a public station.,Cyprus,negative
Unreliable Service,Feb,2023,twitter,Reliability equipment,The train service is unreliable.,"The train was delayed for over an hour, and then it was cancelled altogether. The service is unreliable and frustrating.",Malta,negative
Poor Customer Service,Aug,2022,facebook,Handling complaints,The staff are unhelpful.,"I had a problem with my ticket, and the staff were unhelpful and dismissive. They didn't even try to assist me.",Luxembourg,negative
Unsatisfactory Experience,Mar,2019,google review,Satisfactions,The overall experience was unsatisfying.,"The overall experience at the station was unsatisfactory. The facilities were outdated, the staff were rude, and the trains were crowded.",Iceland,negative
Broken Escalator,Nov,2021,twitter,Reliability equipment,The escalator was broken.,"The escalator was out of service, and I had to carry my heavy luggage up the stairs. This was a major inconvenience, especially with the long wait for the lift.",New Zealand,negative
Dirty and Unhygienic,Jun,2024,facebook,Cleanliness,The station is dirty and unhygienic.,"The station was dirty and unhygienic. The floors were sticky, and there was trash everywhere. This is unacceptable for a public place.",South Africa,negative
Unhelpful Staff,Oct,2022,google review,Handling complaints,The staff are unhelpful.,"I had a problem with my ticket, and the staff were rude and unhelpful. They didn't even try to assist me.",Argentina,negative
Delay Issues,Apr,2016,instagram,Puncuality,The trains are often delayed.,"The train was delayed for over an hour, with no explanation or apology. This is unacceptable for a public transportation system.",Chile,negative
Neglected Station,Jul,2019,twitter,Maintenance,The station is not well-maintained.,"The station looks rundown and neglected. The paint is chipping, the floors are cracked, and there's graffiti everywhere.",Colombia,negative
Confusing Payment System,Feb,2021,facebook,User-friendly payment system,The payment system is confusing.,"The ticketing machines were confusing and difficult to use. I had to ask for assistance from a staff member, who was also unhelpful.",Peru,negative
No Information Available,May,2024,google review,Data availability,There is no information available.,"I couldn't find any information about train schedules or platform numbers. The screens were blank, and there were no staff members to help.",Venezuela,negative
Unsafe Environment,Aug,2018,twitter,Safety,The station is unsafe.,"I witnessed a fight break out on the platform. It was a scary experience, and I felt unsafe. The station needs more security.",Brazil,negative
Unhygienic Toilets,Dec,2017,facebook,Cleanliness,The toilets are dirty.,"The toilets were filthy and smelled horrible. It was a disgusting experience, and I wouldn't use them again.",Uruguay,negative
Unreliable Train Service,Jan,2020,google review,Reliability equipment,The train service is unreliable.,"The trains were frequently delayed or cancelled, making it difficult to plan my trip. The service is unreliable and frustrating.",Paraguay,negative
